date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:07:12	108963/108963	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Oct%202021%2011:33:48%20GMT	https://demos.creative-tim.com/material-kit-pro/pages/smart-home.html	C:/Users/zande/Music/solar%20soosi/demos.creative-tim.com/material-kit-pro/pages/smart-home.html	(from )
13:07:12	2170/2170	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Feb%202022%2007:37:12%20GMT	https://demos.creative-tim.com/robots.txt		(from )
13:07:13	809/809	---M--	200	added ('OK')	image/png	etag:%226156f21c-329%22	https://demos.creative-tim.com/material-kit-pro/assets/img/apple-icon.png	C:/Users/zande/Music/solar%20soosi/demos.creative-tim.com/material-kit-pro/assets/img/apple-icon.png	(from https://demos.creative-tim.com/material-kit-pro/pages/smart-home.html)
13:07:13	809/809	---M--	200	added ('OK')	image/png	etag:%226156f21c-329%22	https://demos.creative-tim.com/material-kit-pro/assets/img/favicon.png	C:/Users/zande/Music/solar%20soosi/demos.creative-tim.com/material-kit-pro/assets/img/favicon.png	(from https://demos.creative-tim.com/material-kit-pro/pages/smart-home.html)
13:07:14	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Thu,%2024%20Feb%202022%2007:37:13%20GMT	https://s3.amazonaws.com/creativetim_bucket/products/414/thumb/opt_mds_thumbnail.png	C:/Users/zande/Music/solar%20soosi/s3.amazonaws.com/creativetim_bucket/products/414/thumb/opt_mds_thumbnail.3.delayed	(from https://demos.creative-tim.com/material-kit-pro/pages/smart-home.html)
13:07:15	9015/9015	---M-Z	200	added ('OK')	text/css	etag:W/%226156f21c-2337%22	https://demos.creative-tim.com/material-kit-pro/assets/css/nucleo-icons.css	C:/Users/zande/Music/solar%20soosi/demos.creative-tim.com/material-kit-pro/assets/css/nucleo-icons.css	(from https://demos.creative-tim.com/material-kit-pro/pages/smart-home.html)
13:07:15	2253/2253	---M-Z	200	added ('OK')	text/css	etag:W/%226156f21c-8cd%22	https://demos.creative-tim.com/material-kit-pro/assets/css/nucleo-svg.css	C:/Users/zande/Music/solar%20soosi/demos.creative-tim.com/material-kit-pro/assets/css/nucleo-svg.css	(from https://demos.creative-tim.com/material-kit-pro/pages/smart-home.html)
13:07:16	11025/11025	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2024%20Feb%202022%2007:37:15%20GMT	https://kit.fontawesome.com/42d5adcbca.js	C:/Users/zande/Music/solar%20soosi/kit.fontawesome.com/42d5adcbca.js	(from https://demos.creative-tim.com/material-kit-pro/pages/smart-home.html)
13:07:16	495875/495875	---M-Z	200	added ('OK')	text/css	etag:W/%226156f21c-79103%22	https://demos.creative-tim.com/material-kit-pro/assets/css/material-kit-pro.min.css?v=3.0.0	C:/Users/zande/Music/solar%20soosi/demos.creative-tim.com/material-kit-pro/assets/css/material-kit-pro.min2513.css	(from https://demos.creative-tim.com/material-kit-pro/pages/smart-home.html)
13:07:16	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/zande/Music/solar%20soosi/www.google-analytics.com/analytics.js	(from https://demos.creative-tim.com/material-kit-pro/pages/smart-home.html)
13:07:17	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2024%20Feb%202022%2007:37:16%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/zande/Music/solar%20soosi/www.googletagmanager.com/gtm.95445.delayed	(from https://demos.creative-tim.com/material-kit-pro/pages/smart-home.html)
13:07:17	82795/82795	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Oct%202021%2011:33:48%20GMT	https://demos.creative-tim.com/material-kit-pro/pages/coworking.html	C:/Users/zande/Music/solar%20soosi/demos.creative-tim.com/material-kit-pro/pages/coworking.html	(from https://demos.creative-tim.com/material-kit-pro/pages/smart-home.html)
13:07:18	97898/97898	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Oct%202021%2011:33:48%20GMT	https://demos.creative-tim.com/material-kit-pro/pages/rental.html	C:/Users/zande/Music/solar%20soosi/demos.creative-tim.com/material-kit-pro/pages/rental.html	(from https://demos.creative-tim.com/material-kit-pro/pages/smart-home.html)
13:07:18	84095/84095	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Oct%202021%2011:33:48%20GMT	https://demos.creative-tim.com/material-kit-pro/pages/case-study.html	C:/Users/zande/Music/solar%20soosi/demos.creative-tim.com/material-kit-pro/pages/case-study.html	(from https://demos.creative-tim.com/material-kit-pro/pages/smart-home.html)
13:07:19	77210/77210	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Oct%202021%2011:33:48%20GMT	https://demos.creative-tim.com/material-kit-pro/pages/about-us.html	C:/Users/zande/Music/solar%20soosi/demos.creative-tim.com/material-kit-pro/pages/about-us.html	(from https://demos.creative-tim.com/material-kit-pro/pages/smart-home.html)
13:07:19	119634/119634	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Oct%202021%2011:33:48%20GMT	https://demos.creative-tim.com/material-kit-pro/pages/pricing.html	C:/Users/zande/Music/solar%20soosi/demos.creative-tim.com/material-kit-pro/pages/pricing.html	(from https://demos.creative-tim.com/material-kit-pro/pages/smart-home.html)
13:07:19	79415/79415	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Oct%202021%2011:33:48%20GMT	https://demos.creative-tim.com/material-kit-pro/pages/career.html	C:/Users/zande/Music/solar%20soosi/demos.creative-tim.com/material-kit-pro/pages/career.html	(from https://demos.creative-tim.com/material-kit-pro/pages/smart-home.html)
13:07:20	75818/75818	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Oct%202021%2011:33:48%20GMT	https://demos.creative-tim.com/material-kit-pro/pages/work-with-us.html	C:/Users/zande/Music/solar%20soosi/demos.creative-tim.com/material-kit-pro/pages/work-with-us.html	(from https://demos.creative-tim.com/material-kit-pro/pages/smart-home.html)
13:07:20	81389/81389	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Oct%202021%2011:33:48%20GMT	https://demos.creative-tim.com/material-kit-pro/pages/terms.html	C:/Users/zande/Music/solar%20soosi/demos.creative-tim.com/material-kit-pro/pages/terms.html	(from https://demos.creative-tim.com/material-kit-pro/pages/smart-home.html)
13:07:20	75716/75716	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Oct%202021%2011:33:48%20GMT	https://demos.creative-tim.com/material-kit-pro/pages/help-center.html	C:/Users/zande/Music/solar%20soosi/demos.creative-tim.com/material-kit-pro/pages/help-center.html	(from https://demos.creative-tim.com/material-kit-pro/pages/smart-home.html)
